#Table1
class,subclass,oiii_5007_flux,h_beta_flux,h_alpha_flux,nii_6584_flux
GALAXY,STARFORMING,707.3505,647.9645,2398.796,571.7795
GALAXY,BROADLINE,57.34115,49.74249,170.1282,180.5769
GALAXY,BROADLINE,221.805,80.68275,398.467,544.3401
GALAXY,BROADLINE,185.8391,87.85116,301.3992,354.0273
GALAXY,STARFORMING,577.459,657.1082,2320.722,1377.294
GALAXY,STARBURST,798.7475,639.9042,5375.523,4637.587
GALAXY,BROADLINE,76.30588,20.75083,36.66966,31.59191
GALAXY,STARFORMING,125.9368,417.0034,1768.039,1016.268
GALAXY,STARBURST,255.2014,1410.419,6299.33,2342.719
GALAXY,STARFORMING,57.58485,175.0838,1039.214,423.887
GALAXY,STARFORMING,50.25264,353.5037,1609.377,656.5298
GALAXY,BROADLINE,51.85497,36.20171,125.0323,104.0426
GALAXY,BROADLINE,8.160789,10.39004,20.60349,2.67149
GALAXY,BROADLINE,91.27698,38.91634,94.47193,129.8598
GALAXY,,1.668635,10.27965,20.36253,28.34738
GALAXY,AGN BROADLINE,152.9499,131.5009,559.1927,667.9835
GALAXY,BROADLINE,106.9262,38.71738,207.8772,318.041
GALAXY,,105.3877,56.18203,124.3558,69.6456
GALAXY,AGN,7253.709,1060.672,4263.61,4399.159
GALAXY,BROADLINE,72.39085,8.077223,40.46594,75.16048
GALAXY,,103.552,37.21505,42.73099,84.95889
GALAXY,BROADLINE,211.3722,129.1813,421.3839,501.8023
GALAXY,BROADLINE,178.2503,195.8233,624.3655,663.8597
GALAXY,,41.84813,4.436566,74.29346,152.7522
GALAXY,STARFORMING,166.2012,382.002,1766.44,1075.476
GALAXY,,43.17113,12.30844,24.71994,24.5152
GALAXY,STARBURST,108.6237,933.6631,4170.417,1305.83
GALAXY,STARFORMING,103.0234,255.9494,1351.254,806.5703
GALAXY,BROADLINE,133.2653,41.25709,226.5941,339.7838
GALAXY,AGN BROADLINE,156.8089,226.3329,744.3316,696.9832
GALAXY,STARFORMING,339.0571,521.8772,3180.328,1724.328
GALAXY,AGN,206.196,88.78378,349.4867,510.868
GALAXY,,13.83089,12.34777,26.74763,40.25853
GALAXY,STARBURST,172.4489,917.3574,3543.482,1495.045
GALAXY,STARBURST,4887.686,2969.354,9668.336,2144.424
GALAXY,BROADLINE,106.9701,71.18328,165.8618,218.1543
GALAXY,AGN,122.7653,46.57806,165.7143,152.0144
GALAXY,AGN,131.3573,99.25674,381.3207,733.5363
GALAXY,AGN,2183.46,732.654,3909.164,3456.265
GALAXY,BROADLINE,64.94917,0.1840282,46.54045,155.2948
GALAXY,STARFORMING,79.49393,263.3401,1227.583,524.75
GALAXY,STARFORMING BROADLINE,764.3829,434.6566,1572.383,714.8591
GALAXY,BROADLINE,13.95479,19.51337,30.61693,4.741982
GALAXY,,173.5757,99.20873,136.9855,136.0948
GALAXY,STARBURST,2876.047,2037.056,9504.388,3954.461
GALAXY,,32.4846,9.902446,13.5723,19.46604
GALAXY,AGN BROADLINE,169.8599,179.9334,709.0253,602.337
GALAXY,STARBURST,13021.97,4448.987,14187.44,1680.922
GALAXY,BROADLINE,133.3197,49.38228,140.5117,198.1082
GALAXY,STARBURST,3338.761,2546.273,8981.012,1789.353
GALAXY,BROADLINE,74.66541,56.83561,176.7421,271.9353
GALAXY,,98.81533,50.51595,123.9643,133.3794
GALAXY,STARFORMING BROADLINE,157.666,232.2401,860.988,537.3231
GALAXY,AGN BROADLINE,88.93002,94.80769,350.2201,311.5451
GALAXY,,78.70481,36.72319,82.82127,32.2201
GALAXY,,92.56021,88.01129,455.3201,349.4336
GALAXY,BROADLINE,381.0535,104.3579,338.7103,345.545
GALAXY,AGN BROADLINE,48.70671,30.82472,93.95538,60.51918
GALAXY,BROADLINE,58.12259,18.79779,55.33094,23.86265
GALAXY,STARFORMING,84.86417,528.2588,2329.997,1132.783
GALAXY,BROADLINE,80.82633,54.47095,255.1709,282.4006
GALAXY,,5.949724,8.218803,27.71236,30.00709
GALAXY,BROADLINE,75.49704,44.34372,137.1607,192.9624
GALAXY,AGN,259.3684,139.9934,503.4296,432.9614
GALAXY,AGN BROADLINE,88.57294,78.22061,287.6976,361.4651
GALAXY,STARFORMING,36.31393,185.3663,926.6036,321.5735
GALAXY,STARFORMING,57.48952,157.6204,703.2859,304.1326
GALAXY,,236.9613,51.57416,109.3988,185.5464
GALAXY,STARFORMING,87.41045,450.6973,2550.594,965.9288
GALAXY,BROADLINE,100.2781,77.29715,195.424,224.2118
GALAXY,STARFORMING,44.83813,130.6656,419.5094,158.0713
