#Table1
specobjid,class,z,snmedian_g,oiii_5007_flux,h_beta_flux,h_gamma_flux,oiii_5007_eqw,h_beta_eqw,h_gamma_eqw,OIII_Hbeta,Hbeta_Hgamma,OIII_Hgamma,E_BV
2165210579902425088,QSO,0.1395377,43.6045,568.3103,3421.211,1400.953,-7.226767,-30.15136,-12.24471,0.1661138,2.44206,0.4056597,0.03154486
2946519439278893056,QSO,0.2217153,38.46569,543.2698,1593.179,746.7751,-13.80028,-24.37148,-11.83868,0.3409975,2.133412,0.7274879,0.02738428
3346215282006845440,QSO,0.08366632,36.12564,2427.053,3610.479,1385.311,-20.2813,-28.1305,-9.958217,0.6722247,2.606258,1.751991,0.03013047
3244963728629721088,QSO,0.2251655,36.77055,391.3485,1074.858,519.9,-8.035759,-12.56096,-6.907714,0.3640934,2.067431,0.7527382,0.009952372
620506122037520384,QSO,0.2344913,53.73553,913.5361,2229.068,1087.688,-9.746435,-17.4852,-8.866838,0.4098286,2.049365,0.8398883,0.02005281
2528789395910191104,QSO,0.0863796,41.11017,1020.123,2033.969,1131.383,-14.31766,-13.28217,-8.780498,0.5015432,1.797772,0.9016601,0.01130901
2942070540002682880,QSO,0.06355042,52.27291,3924.688,3590.22,1967.854,-26.14967,-11.70968,-7.929694,1.093161,1.824435,1.994401,0.02681515
2042540012473444352,QSO,0.129768,37.70703,4178.405,1777.444,873.4644,-51.05418,-14.6751,-8.164412,2.350794,2.034936,4.783716,0.02729913
2509763997398493184,QSO,0.1674174,35.88123,307.9158,759.5152,464.8255,-6.167908,-10.45688,-7.261472,0.4054109,1.633979,0.662433,0.02117208
2930788726034425856,QSO,0.06738997,46.68539,13407.49,4510.373,2181.303,-116.6997,-27.85945,-13.60655,2.972589,2.067743,6.14655,0.02857031
